episode_num,timestep,episode_reward,episode_length,cumulative_reward,moving_avg_10,moving_avg_100,conditions_read,navigation_started,zones_reached,correct_zones,treatments_applied,episode_phases,final_distances,best_distances,loss,q_value_mean,exploration_rate,target_updates,loss_variance_window
70,1580,-3.41,13,-668.08,-9.255999999999997,-9.543999999999997,True,True,True,False,True,TREAT,4,2,,,0.9886240000000001,0.0,
71,1604,-14.999999999999993,25,-683.08,-10.355999999999998,-9.620845070422533,False,False,False,False,False,ANALYZE,1,1,,,0.9884512000000001,0.0,
72,1632,-11.449999999999994,25,-694.5300000000001,-11.140999999999996,-9.646249999999997,True,True,False,False,False,NAVIGATE,1,1,,,0.9882496000000001,0.0,
73,1656,-11.449999999999994,25,-705.9800000000001,-11.455999999999994,-9.670958904109586,True,True,False,False,False,NAVIGATE,2,2,,,0.9880768000000001,0.0,
74,1680,-6.999999999999993,25,-712.9800000000001,-11.115999999999994,-9.634864864864863,True,True,True,True,False,TREAT,0,0,,,0.9879040000000001,0.0,
75,1704,-12.499999999999993,25,-725.4800000000001,-11.285999999999996,-9.673066666666664,True,False,False,False,False,NAVIGATE,2,2,,,0.9877311999999999,0.0,
76,1732,-9.449999999999998,25,-734.9300000000002,-11.070999999999996,-9.670131578947366,True,True,False,False,False,NAVIGATE,3,1,,,0.9875295999999999,0.0,
77,1756,-10.399999999999995,25,-745.3300000000002,-10.610999999999995,-9.679610389610387,True,True,False,False,False,NAVIGATE,2,1,,,0.9873567999999999,0.0,
78,1780,-14.999999999999993,25,-760.3300000000002,-10.610999999999994,-9.74782051282051,False,False,False,False,False,ANALYZE,1,1,,,0.987184,0.0,
79,1804,-10.999999999999996,25,-771.3300000000002,-10.665999999999997,-9.763670886075946,True,True,False,False,False,NAVIGATE,1,1,,,0.9870112,0.0,
80,1828,-7.119999999999999,21,-778.4500000000002,-11.036999999999995,-9.730624999999996,True,True,True,False,False,TREAT,4,2,,,0.9868384,0.0,
81,1836,2.3400000000000003,8,-776.1100000000001,-9.302999999999995,-9.581604938271601,True,True,True,True,False,TREAT,0,0,,,0.9867808,0.0,
82,1860,-14.999999999999993,25,-791.1100000000001,-9.657999999999996,-9.647682926829264,False,False,False,False,False,ANALYZE,2,2,,,0.986608,0.0,
83,1884,-14.999999999999993,25,-806.1100000000001,-10.012999999999996,-9.712168674698791,False,False,False,False,False,ANALYZE,2,2,,,0.9864352000000001,0.0,
84,1908,-14.999999999999993,25,-821.1100000000001,-10.812999999999997,-9.775119047619043,False,False,False,False,False,ANALYZE,2,2,,,,,
85,1936,-14.999999999999993,25,-836.1100000000001,-11.062999999999997,-9.836588235294114,False,False,False,False,False,ANALYZE,2,2,,,0.9860608000000001,0.0,
86,1960,-10.249999999999998,25,-846.3600000000001,-11.142999999999995,-9.841395348837205,True,True,False,False,False,NAVIGATE,2,2,,,0.9858880000000001,0.0,
87,1984,-8.1,25,-854.4600000000002,-10.912999999999995,-9.821379310344824,True,True,False,False,False,NAVIGATE,2,1,,,0.9857151999999999,0.0,
88,2008,-10.599999999999994,25,-865.0600000000002,-10.472999999999995,-9.830227272727269,True,True,False,False,False,NAVIGATE,2,1,,,,,
89,2036,-14.999999999999993,25,-880.0600000000002,-10.872999999999996,-9.888314606741568,False,False,False,False,False,ANALYZE,2,2,,,0.9853407999999999,0.0,
90,2060,-10.399999999999999,25,-890.4600000000002,-11.200999999999997,-9.893999999999995,True,True,False,False,False,NAVIGATE,3,2,,,0.9851679999999999,0.0,
91,2084,-14.999999999999993,25,-905.4600000000002,-12.934999999999997,-9.950109890109886,False,False,False,False,False,ANALYZE,2,2,,,0.9849952,0.0,
92,2108,-14.999999999999993,25,-920.4600000000002,-12.934999999999997,-10.004999999999995,False,False,False,False,False,ANALYZE,2,2,,,,,
93,2136,-10.999999999999996,25,-931.4600000000002,-12.534999999999997,-10.01569892473118,True,True,False,False,False,NAVIGATE,1,1,,,0.9846208,0.0,
94,2152,-5.16,18,-936.6200000000001,-11.550999999999997,-9.964042553191485,True,True,True,False,False,TREAT,4,1,,,0.9845056000000001,0.0,
95,2176,-12.499999999999993,25,-949.1200000000001,-11.300999999999997,-9.990736842105258,True,False,False,False,False,NAVIGATE,2,2,,,0.9843327999999999,0.0,
96,2204,-14.999999999999993,25,-964.1200000000001,-11.775999999999996,-10.042916666666663,False,False,False,False,False,ANALYZE,1,1,,,0.9841311999999999,0.0,
97,2228,-11.449999999999994,25,-975.5700000000002,-12.110999999999995,-10.057422680412369,True,True,False,False,False,NAVIGATE,2,2,,,0.9839583999999999,0.0,
98,2240,1.3300000000000005,11,-974.2400000000001,-10.917999999999996,-9.941224489795914,True,True,True,True,False,TREAT,0,0,,,0.9838720000000001,0.0,
99,2264,-12.499999999999993,25,-986.7400000000001,-10.667999999999996,-9.967070707070704,True,False,False,False,False,NAVIGATE,2,2,,,0.9836992000000001,0.0,
100,2288,-5.799999999999995,25,-992.5400000000001,-10.207999999999995,-9.925399999999996,True,True,True,True,False,TREAT,0,0,,,0.9835263999999999,0.0,
101,2312,-14.999999999999993,25,-1007.5400000000001,-10.207999999999995,-10.022899999999995,False,False,False,False,False,ANALYZE,1,1,,,0.9833535999999999,0.0,
102,2340,-14.999999999999993,25,-1022.5400000000001,-10.207999999999995,-10.060899999999997,False,False,False,False,False,ANALYZE,1,1,,,0.9831519999999999,0.0,
103,2364,-14.999999999999993,25,-1037.54,-10.607999999999995,-10.100399999999997,False,False,False,False,False,ANALYZE,1,1,,,0.9829791999999999,0.0,
104,2380,10.18,16,-1027.36,-9.073999999999995,-9.848599999999998,True,True,True,True,True,TREAT,0,0,,,0.9828640000000001,0.0,
105,2404,-9.199999999999998,25,-1036.56,-8.743999999999996,-9.790599999999998,True,True,False,False,False,NAVIGATE,3,2,,,0.9826912000000001,0.0,
106,2428,-14.999999999999993,25,-1051.56,-8.743999999999996,-9.834599999999998,False,False,False,False,False,ANALYZE,1,1,,,0.9825183999999999,0.0,
107,2456,-14.999999999999993,25,-1066.56,-9.098999999999995,-9.868599999999997,False,False,False,False,False,ANALYZE,2,2,,,0.9823167999999999,0.0,
108,2480,-14.999999999999993,25,-1081.56,-10.731999999999996,-9.893599999999998,False,False,False,False,False,ANALYZE,2,2,,,0.9821439999999999,0.0,
109,2504,-14.999999999999993,25,-1096.56,-10.981999999999996,-10.008799999999997,False,False,False,False,False,ANALYZE,2,2,,,0.9819711999999999,0.0,
110,2528,-10.449999999999998,25,-1107.01,-11.446999999999996,-9.963299999999997,True,True,False,False,False,NAVIGATE,1,1,,,0.9817984,0.0,
111,2548,-6.6,20,-1113.61,-10.606999999999996,-9.879299999999997,True,True,True,False,False,TREAT,4,2,,,0.9816544,0.0,
112,2560,12.780000000000001,11,-1100.83,-7.828999999999995,-9.640999999999998,True,True,True,True,True,TREAT,0,0,,,0.981568,0.0,
113,2584,-12.499999999999993,25,-1113.33,-7.578999999999996,-9.615999999999998,True,False,False,False,False,NAVIGATE,2,2,,,0.9813952,0.0,
114,2612,-10.799999999999997,25,-1124.1299999999999,-9.676999999999996,-9.615999999999998,True,True,False,False,False,NAVIGATE,2,2,,,0.9811936,0.0,
115,2624,1.2900000000000005,13,-1122.84,-8.627999999999995,-9.510099999999998,True,True,True,True,False,TREAT,0,0,,,0.9811072000000001,0.0,
116,2648,-10.499999999999998,25,-1133.34,-8.177999999999995,-9.465099999999996,True,True,False,False,False,NAVIGATE,3,2,,,0.9809343999999999,0.0,
117,2672,-9.849999999999998,25,-1143.1899999999998,-7.662999999999997,-9.529399999999995,True,True,False,False,False,NAVIGATE,2,1,,,0.9807615999999999,0.0,
118,2700,-9.399999999999999,25,-1152.59,-7.102999999999997,-9.527399999999998,True,True,False,False,False,NAVIGATE,2,1,,,0.98056,0.0,
119,2724,-14.999999999999993,25,-1167.59,-7.102999999999997,-9.648799999999996,False,False,False,False,False,ANALYZE,2,2,,,0.9803872,0.0,
120,2748,-4.459999999999997,23,-1172.05,-6.503999999999998,-9.610599999999998,True,True,True,True,False,TREAT,0,0,,,0.9802144,0.0,
