episode_num,episode_reward,cumulative_reward,moving_avg_10,moving_avg_100,episode_length,policy_loss,value_loss,entropy,learning_rate,explained_variance,total_loss,loss_variance_window,reward_variance_window
55,-17.59999999999999,-669.5299999999996,-14.624999999999995,-12.173272727272725,30,,,,,,,,
56,-13.399999999999995,-682.9299999999996,-14.204999999999995,-12.195178571428565,30,,,,,,,,
57,-17.59999999999999,-700.5299999999996,-14.734999999999994,-12.289999999999994,30,,,,,,,,
58,-17.59999999999999,-718.1299999999997,-14.734999999999994,-12.381551724137925,30,,,,,,,,
59,-13.399999999999993,-731.5299999999996,-14.314999999999994,-12.398813559322027,30,,,,,,,,
60,-15.09999999999999,-746.6299999999997,-14.064999999999992,-12.443833333333327,30,,,,,,,,
61,-17.59999999999999,-764.2299999999997,-14.734999999999994,-12.5283606557377,30,,,,,,,,
62,-17.59999999999999,-781.8299999999997,-14.734999999999994,-12.610161290322576,30,,,,,,,,
63,-0.8199999999999998,-782.6499999999997,-14.316999999999993,-12.423015873015869,16,,,,,,,,
64,-9.899999999999999,-792.5499999999997,-14.061999999999992,-12.383593749999992,30,,,,,,,,
